,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,score_dff (home-away),team_away,team_favorite_id,favor_direction,favor_score_diff,spread_favorite,win_loss,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
10848,9/22/2013,2013,3,FALSE,NE,23,3,20,TB,NE,Home,-20,-7.5,TRUE,45,Gillette Stadium,FALSE,72,9,72,
10849,9/22/2013,2013,3,FALSE,NO,31,7,24,ARI,NO,Home,-24,-7.5,TRUE,49.5,Louisiana Superdome,FALSE,72,0,,indoor
10850,9/22/2013,2013,3,FALSE,NYJ,27,20,7,BUF,NYJ,Home,-7,-2.5,TRUE,41,MetLife Stadium,FALSE,67,9,46,
10851,9/22/2013,2013,3,FALSE,PIT,23,40,-17,CHI,CHI,Away,-17,-2.5,TRUE,41,Heinz Field,FALSE,56,5,72,
10852,9/22/2013,2013,3,FALSE,SF,7,27,-20,IND,SF,Home,20,-10,FALSE,47,Candlestick Park,FALSE,66,5,63,
10853,9/22/2013,2013,3,FALSE,SEA,45,17,28,JAX,SEA,Home,-28,-20,TRUE,39.5,CenturyLink Field,FALSE,61,17,87,
10854,9/22/2013,2013,3,FALSE,TEN,20,17,3,LAC,TEN,Home,-3,-3,FALSE,43.5,Nissan Stadium,FALSE,76,7,46,
10855,9/22/2013,2013,3,FALSE,WAS,20,27,-7,DET,DET,Away,-7,-1,TRUE,49.5,FedEx Field,FALSE,72,8,51,
10856,9/23/2013,2013,3,FALSE,DEN,37,21,16,LVR,DEN,Home,-16,-16.5,FALSE,50,Sports Authority Field at Mile High,FALSE,64,16,28,
10857,9/26/2013,2013,4,FALSE,LAR,11,35,-24,SF,SF,Away,-24,-4,TRUE,43.5,Edward Jones Dome,FALSE,72,0,,indoor
10858,9/29/2013,2013,4,FALSE,ATL,23,30,-7,NE,ATL,Home,7,-3,FALSE,50,Georgia Dome,FALSE,72,0,,indoor
10859,9/29/2013,2013,4,FALSE,BUF,23,20,3,BAL,BAL,Away,3,-4,FALSE,45,Ralph Wilson Stadium,FALSE,74,8,57,
10860,9/29/2013,2013,4,FALSE,CLE,17,6,11,CIN,CIN,Away,11,-4.5,FALSE,42.5,FirstEnergy Stadium,FALSE,73,9,67,
10861,9/29/2013,2013,4,FALSE,DEN,52,20,32,PHI,DEN,Home,-32,-11.5,TRUE,59,Sports Authority Field at Mile High,FALSE,76,8,16,
10862,9/29/2013,2013,4,FALSE,DET,40,32,8,CHI,DET,Home,-8,-2.5,TRUE,49.5,Ford Field,FALSE,72,0,,indoor
10863,9/29/2013,2013,4,FALSE,HOU,20,23,-3,SEA,SEA,Away,-3,-2,TRUE,41,Reliant Stadium,FALSE,82,9,90,retractable (open roof)
10864,9/29/2013,2013,4,FALSE,JAX,3,37,-34,IND,IND,Away,-34,-9.5,TRUE,42.5,EverBank Field,FALSE,80,12,65,
10865,9/29/2013,2013,4,FALSE,KC,31,7,24,NYG,KC,Home,-24,-4.5,TRUE,44,Arrowhead Stadium,FALSE,73,5,65,
10866,9/29/2013,2013,4,FALSE,MIN,34,27,7,PIT,PIT,Away,7,-3,FALSE,41.5,Wembley Stadium,TRUE,54,11,86,
10867,9/29/2013,2013,4,FALSE,LVR,14,24,-10,WAS,WAS,Away,-10,-4,TRUE,46,Oakland Coliseum,FALSE,77,5,52,
10868,9/29/2013,2013,4,FALSE,LAC,30,21,9,DAL,DAL,Away,9,-1.5,FALSE,48,Qualcomm Stadium,FALSE,80,7,27,
