,schedule_date,schedule_season,team_home,score_home,score_away,team_away,team_favorite_id,game_winner,home_team_won,spread_favorite,over_under_line,stadium,stadium_type,weather_temperature(°F),weather_wind_mph,weather_humidity(%)
45,9/22/2013,2013,TEN,20,17,LAC,TEN,TEN,1,-3.0,43.5,Nissan Stadium,Outdoor,76.0,7.0,46.0
46,9/22/2013,2013,WAS,20,27,DET,DET,DET,0,-1.0,49.5,FedEx Field,Outdoor,72.0,8.0,51.0
47,9/23/2013,2013,DEN,37,21,LVR,DEN,DEN,1,-16.5,50.0,Sports Authority Field at Mile High,Outdoor,64.0,16.0,28.0
48,9/26/2013,2013,LAR,11,35,SF,SF,SF,0,-4.0,43.5,Edward Jones Dome,Indoor,72.0,0.0,
49,9/29/2013,2013,ATL,23,30,NE,ATL,NE,0,-3.0,50.0,Georgia Dome,Indoor,72.0,0.0,
50,9/29/2013,2013,BUF,23,20,BAL,BAL,BUF,1,-4.0,45.0,Ralph Wilson Stadium,Outdoor,74.0,8.0,57.0
51,9/29/2013,2013,CLE,17,6,CIN,CIN,CLE,1,-4.5,42.5,FirstEnergy Stadium,Outdoor,73.0,9.0,67.0
52,9/29/2013,2013,DEN,52,20,PHI,DEN,DEN,1,-11.5,59.0,Sports Authority Field at Mile High,Outdoor,76.0,8.0,16.0
53,9/29/2013,2013,DET,40,32,CHI,DET,DET,1,-2.5,49.5,Ford Field,Indoor,72.0,0.0,
54,9/29/2013,2013,HOU,20,23,SEA,SEA,SEA,0,-2.0,41.0,Reliant Stadium,Indoor,82.0,9.0,90.0
55,9/29/2013,2013,JAX,3,37,IND,IND,IND,0,-9.5,42.5,EverBank Field,Outdoor,80.0,12.0,65.0
56,9/29/2013,2013,KC,31,7,NYG,KC,KC,1,-4.5,44.0,Arrowhead Stadium,Outdoor,73.0,5.0,65.0
57,9/29/2013,2013,MIN,34,27,PIT,PIT,MIN,1,-3.0,41.5,Wembley Stadium,Outdoor,54.0,11.0,86.0
58,9/29/2013,2013,LVR,14,24,WAS,WAS,WAS,0,-4.0,46.0,Oakland Coliseum,Outdoor,77.0,5.0,52.0
