,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
10832,9/15/2013,2013,2,False,HOU,30,24,TEN,HOU,-9.0,43,Reliant Stadium,False,91.0,9.0,54.0,retractable (open roof)
10833,9/15/2013,2013,2,False,IND,20,24,MIA,IND,-3.0,44,Lucas Oil Stadium,False,72.0,0.0,,indoor
10834,9/15/2013,2013,2,False,KC,17,16,DAL,KC,-3.0,46,Arrowhead Stadium,False,79.0,6.0,69.0,
10835,9/15/2013,2013,2,False,NYG,23,41,DEN,DEN,-4.0,55.5,MetLife Stadium,False,70.0,3.0,33.0,
10836,9/15/2013,2013,2,False,LVR,19,9,JAX,LVR,-5.0,40,Oakland Coliseum,False,76.0,9.0,52.0,
10837,9/15/2013,2013,2,False,PHI,30,33,LAC,PHI,-7.5,54,Lincoln Financial Field,False,72.0,7.0,40.0,
10838,9/15/2013,2013,2,False,SEA,29,3,SF,SEA,-2.5,44.5,CenturyLink Field,False,64.0,6.0,81.0,rain
10839,9/15/2013,2013,2,False,TB,14,16,NO,NO,-4.0,48.5,Raymond James Stadium,False,93.0,8.0,47.0,
10840,9/16/2013,2013,2,False,CIN,20,10,PIT,CIN,-6.5,41,Paul Brown Stadium,False,62.0,5.0,75.0,
10841,9/19/2013,2013,3,False,PHI,16,26,KC,PHI,-3.5,51,Lincoln Financial Field,False,73.0,5.0,43.0,
10842,9/22/2013,2013,3,False,BAL,30,9,HOU,HOU,-1.0,44.5,M&T Bank Stadium,False,73.0,9.0,44.0,
10843,9/22/2013,2013,3,False,CAR,38,0,NYG,NYG,-3.0,47,Bank of America Stadium,False,77.0,15.0,52.0,
10844,9/22/2013,2013,3,False,CIN,34,30,GB,GB,-3.0,50.5,Paul Brown Stadium,False,67.0,7.0,52.0,
10845,9/22/2013,2013,3,False,DAL,31,7,LAR,DAL,-3.5,47,Cowboys Stadium,False,72.0,0.0,,indoor
10846,9/22/2013,2013,3,False,MIA,27,23,ATL,MIA,-2.5,46,Sun Life Stadium,False,89.0,8.0,58.0,
10847,9/22/2013,2013,3,False,MIN,27,31,CLE,MIN,-7.0,40.5,Mall of America Field,False,72.0,0.0,,indoor
10848,9/22/2013,2013,3,False,NE,23,3,TB,NE,-7.5,45,Gillette Stadium,False,72.0,9.0,72.0,
10849,9/22/2013,2013,3,False,NO,31,7,ARI,NO,-7.5,49.5,Louisiana Superdome,False,72.0,0.0,,indoor
10850,9/22/2013,2013,3,False,NYJ,27,20,BUF,NYJ,-2.5,41,MetLife Stadium,False,67.0,9.0,46.0,
10851,9/22/2013,2013,3,False,PIT,23,40,CHI,CHI,-2.5,41,Heinz Field,False,56.0,5.0,72.0,
10852,9/22/2013,2013,3,False,SF,7,27,IND,SF,-10.0,47,Candlestick Park,False,66.0,5.0,63.0,
10853,9/22/2013,2013,3,False,SEA,45,17,JAX,SEA,-20.0,39.5,CenturyLink Field,False,61.0,17.0,87.0,
10854,9/22/2013,2013,3,False,TEN,20,17,LAC,TEN,-3.0,43.5,Nissan Stadium,False,76.0,7.0,46.0,
10855,9/22/2013,2013,3,False,WAS,20,27,DET,DET,-1.0,49.5,FedEx Field,False,72.0,8.0,51.0,
10856,9/23/2013,2013,3,False,DEN,37,21,LVR,DEN,-16.5,50,Sports Authority Field at Mile High,False,64.0,16.0,28.0,
10857,9/26/2013,2013,4,False,LAR,11,35,SF,SF,-4.0,43.5,Edward Jones Dome,False,72.0,0.0,,indoor
10858,9/29/2013,2013,4,False,ATL,23,30,NE,ATL,-3.0,50,Georgia Dome,False,72.0,0.0,,indoor
10859,9/29/2013,2013,4,False,BUF,23,20,BAL,BAL,-4.0,45,Ralph Wilson Stadium,False,74.0,8.0,57.0,
10860,9/29/2013,2013,4,False,CLE,17,6,CIN,CIN,-4.5,42.5,FirstEnergy Stadium,False,73.0,9.0,67.0,
10861,9/29/2013,2013,4,False,DEN,52,20,PHI,DEN,-11.5,59,Sports Authority Field at Mile High,False,76.0,8.0,16.0,
10862,9/29/2013,2013,4,False,DET,40,32,CHI,DET,-2.5,49.5,Ford Field,False,72.0,0.0,,indoor
10863,9/29/2013,2013,4,False,HOU,20,23,SEA,SEA,-2.0,41,Reliant Stadium,False,82.0,9.0,90.0,retractable (open roof)
10864,9/29/2013,2013,4,False,JAX,3,37,IND,IND,-9.5,42.5,EverBank Field,False,80.0,12.0,65.0,
10865,9/29/2013,2013,4,False,KC,31,7,NYG,KC,-4.5,44,Arrowhead Stadium,False,73.0,5.0,65.0,
10866,9/29/2013,2013,4,False,MIN,34,27,PIT,PIT,-3.0,41.5,Wembley Stadium,True,54.0,11.0,86.0,
10867,9/29/2013,2013,4,False,LVR,14,24,WAS,WAS,-4.0,46,Oakland Coliseum,False,77.0,5.0,52.0,
10868,9/29/2013,2013,4,False,LAC,30,21,DAL,DAL,-1.5,48,Qualcomm Stadium,False,80.0,7.0,27.0,
10869,9/29/2013,2013,4,False,TB,10,13,ARI,TB,-2.5,40,Raymond James Stadium,False,84.0,7.0,55.0,
10870,9/29/2013,2013,4,False,TEN,38,13,NYJ,TEN,-3.5,40.5,Nissan Stadium,False,74.0,4.0,51.0,rain
10871,9/30/2013,2013,4,False,NO,38,17,MIA,NO,-7.5,49,Louisiana Superdome,False,72.0,0.0,,indoor
10872,10/3/2013,2013,5,False,CLE,37,24,BUF,CLE,-4.0,41,FirstEnergy Stadium,False,75.0,8.0,73.0,rain
10873,10/6/2013,2013,5,False,ARI,22,6,CAR,CAR,-3.0,42.5,University of Phoenix Stadium,False,72.0,0.0,,indoor
10874,10/6/2013,2013,5,False,CHI,18,26,NO,NO,-1.5,51.5,Soldier Field,False,61.0,12.0,49.0,
10875,10/6/2013,2013,5,False,CIN,13,6,NE,NE,-1.0,45.5,Paul Brown Stadium,False,74.0,7.0,93.0,
10876,10/6/2013,2013,5,False,DAL,48,51,DEN,DEN,-9.0,57.5,Cowboys Stadium,False,72.0,0.0,,indoor
10877,10/6/2013,2013,5,False,GB,22,9,DET,GB,-9.5,55,Lambeau Field,False,61.0,12.0,59.0,
10878,10/6/2013,2013,5,False,IND,34,28,SEA,SEA,-3.0,44,Lucas Oil Stadium,False,72.0,0.0,,indoor
10879,10/6/2013,2013,5,False,MIA,23,26,BAL,MIA,-2.5,43,Sun Life Stadium,False,87.0,6.0,56.0,
10880,10/6/2013,2013,5,False,NYG,21,36,PHI,NYG,-1.5,54,MetLife Stadium,False,69.0,9.0,100.0,fog
10881,10/6/2013,2013,5,False,LVR,27,17,LAC,LAC,-5.0,47,Oakland Coliseum,False,70.0,2.0,,
10882,10/6/2013,2013,5,False,SF,34,3,HOU,SF,-4.5,44,Candlestick Park,False,76.0,9.0,40.0,
10883,10/6/2013,2013,5,False,LAR,34,20,JAX,LAR,-11.0,41,Edward Jones Dome,False,72.0,0.0,,indoor
10884,10/6/2013,2013,5,False,TEN,17,26,KC,KC,-3.0,38.5,Nissan Stadium,False,74.0,6.0,83.0,rain
10885,10/7/2013,2013,5,False,ATL,28,30,NYJ,ATL,-10.5,45,Georgia Dome,False,72.0,0.0,,indoor
10886,10/10/2013,2013,6,False,CHI,27,21,NYG,CHI,-8.5,48,Soldier Field,False,63.0,6.0,74.0,
10887,10/13/2013,2013,6,False,BAL,17,19,GB,GB,-2.0,48,M&T Bank Stadium,False,68.0,10.0,83.0,rain
10888,10/13/2013,2013,6,False,BUF,24,27,CIN,CIN,-6.0,41,Ralph Wilson Stadium,False,68.0,5.0,70.0,
10889,10/13/2013,2013,6,False,CLE,17,31,DET,DET,-2.5,43.5,FirstEnergy Stadium,False,67.0,8.0,78.0,
10890,10/13/2013,2013,6,False,DAL,31,16,WAS,DAL,-5.5,51.5,Cowboys Stadium,False,72.0,0.0,,indoor
10891,10/13/2013,2013,6,False,DEN,35,19,JAX,DEN,-26.5,52,Sports Authority Field at Mile High,False,59.0,7.0,53.0,
10892,10/13/2013,2013,6,False,HOU,13,38,LAR,HOU,-9.0,42.5,Reliant Stadium,False,76.0,5.0,94.0,retractable (open roof)
10893,10/13/2013,2013,6,False,KC,24,7,LVR,KC,-7.5,41.5,Arrowhead Stadium,False,70.0,7.0,41.0,
10894,10/13/2013,2013,6,False,MIN,10,35,CAR,MIN,-2.5,44.5,Mall of America Field,False,72.0,0.0,,indoor
10895,10/13/2013,2013,6,False,NE,30,27,NO,NE,-2.5,50,Gillette Stadium,False,59.0,7.0,57.0,
10896,10/13/2013,2013,6,False,NYJ,6,19,PIT,PIT,-1.5,41,MetLife Stadium,False,65.0,10.0,68.0,
10897,10/13/2013,2013,6,False,SF,32,20,ARI,SF,-10.5,41,Candlestick Park,False,67.0,5.0,55.0,
10898,10/13/2013,2013,6,False,SEA,20,13,TEN,SEA,-11.5,41.5,CenturyLink Field,False,57.0,4.0,80.0,
10899,10/13/2013,2013,6,False,TB,20,31,PHI,PHI,-3.0,44,Raymond James Stadium,False,84.0,4.0,42.0,
10900,10/14/2013,2013,6,False,LAC,19,9,IND,PICK,0.0,50.5,Qualcomm Stadium,False,69.0,3.0,69.0,
10901,10/17/2013,2013,7,False,ARI,22,34,SEA,SEA,-4.5,41.5,University of Phoenix Stadium,False,72.0,0.0,,indoor
10902,10/20/2013,2013,7,False,ATL,31,23,TB,ATL,-6.5,43,Georgia Dome,False,72.0,0.0,,indoor
10903,10/20/2013,2013,7,False,CAR,30,15,LAR,CAR,-7.0,42,Bank of America Stadium,False,68.0,4.0,42.0,
10904,10/20/2013,2013,7,False,DET,24,27,CIN,DET,-1.5,46,Ford Field,False,72.0,0.0,,indoor
10905,10/20/2013,2013,7,False,GB,31,13,CLE,GB,-9.5,45,Lambeau Field,False,46.0,8.0,65.0,
10906,10/20/2013,2013,7,False,IND,39,33,DEN,DEN,-6.0,55.5,Lucas Oil Stadium,False,72.0,0.0,,indoor
10907,10/20/2013,2013,7,False,JAX,6,24,LAC,LAC,-7.0,44.5,EverBank Field,False,77.0,7.0,,
10908,10/20/2013,2013,7,False,KC,17,16,HOU,KC,-6.0,39,Arrowhead Stadium,False,70.0,15.0,36.0,
10909,10/20/2013,2013,7,False,MIA,21,23,BUF,MIA,-6.5,44.5,Sun Life Stadium,False,87.0,5.0,57.0,
10910,10/20/2013,2013,7,False,NYJ,30,27,NE,NE,-3.0,43,MetLife Stadium,False,65.0,12.0,36.0,
10911,10/20/2013,2013,7,False,PHI,3,17,DAL,PHI,-2.5,55,Lincoln Financial Field,False,62.0,13.0,39.0,
10912,10/20/2013,2013,7,False,PIT,19,16,BAL,PIT,-2.5,41,Heinz Field,False,57.0,7.0,49.0,
10913,10/20/2013,2013,7,False,TEN,17,31,SF,SF,-3.0,40.5,Nissan Stadium,False,68.0,4.0,32.0,
10914,10/20/2013,2013,7,False,WAS,45,41,CHI,CHI,-1.0,48,FedEx Field,False,62.0,8.0,39.0,
10915,10/21/2013,2013,7,False,NYG,23,7,MIN,NYG,-3.5,47,MetLife Stadium,False,57.0,7.0,63.0,
