,schedule_season,schedule_week,team_home,score_home,score_away,team_away,team_favorite_id,favorite_win,home_win
120,2013,9,MIA,22,20,CIN,CIN,0,1
121,2013,9,BUF,13,23,KC,KC,1,0
122,2013,9,CAR,34,10,ATL,CAR,1,1
123,2013,9,CLE,24,18,BAL,BAL,0,1
124,2013,9,DAL,27,23,MIN,DAL,1,1
125,2013,9,HOU,24,27,IND,IND,1,0
126,2013,9,NE,55,31,PIT,NE,1,1
127,2013,9,NYJ,26,20,NO,NO,0,1
128,2013,9,LVR,20,49,PHI,LVR,0,0
129,2013,9,SEA,27,24,TB,SEA,1,1
130,2013,9,LAR,21,28,TEN,TEN,1,0
131,2013,9,WAS,30,24,LAC,PICK,0,1
132,2013,9,GB,20,27,CHI,GB,0,0
133,2013,10,MIN,34,27,WAS,WAS,0,1
134,2013,10,ARI,27,24,HOU,ARI,1,1
135,2013,10,ATL,10,33,SEA,SEA,1,0
136,2013,10,BAL,20,17,CIN,BAL,1,1
137,2013,10,CHI,19,21,DET,DET,1,0
138,2013,10,GB,13,27,PHI,PHI,1,0
139,2013,10,IND,8,38,LAR,IND,0,0
140,2013,10,NO,49,17,DAL,NO,1,1
141,2013,10,NYG,24,20,LVR,NYG,1,1
142,2013,10,PIT,23,10,BUF,PIT,1,1
143,2013,10,LAC,20,28,DEN,DEN,1,0
144,2013,10,SF,9,10,CAR,SF,0,0
145,2013,10,TEN,27,29,JAX,TEN,0,0
146,2013,10,TB,22,19,MIA,MIA,0,1
147,2013,11,TEN,27,30,IND,IND,1,0
148,2013,11,BUF,37,14,NYJ,NYJ,0,1
149,2013,11,CHI,23,20,BAL,CHI,1,1
150,2013,11,CIN,41,20,CLE,CIN,1,1
151,2013,11,DEN,27,17,KC,DEN,1,1
152,2013,11,HOU,23,28,LVR,HOU,0,0
153,2013,11,JAX,14,27,ARI,ARI,1,0
154,2013,11,MIA,20,16,LAC,LAC,0,1
155,2013,11,NO,23,20,SF,NO,1,1
156,2013,11,NYG,27,13,GB,NYG,1,1
157,2013,11,PHI,24,16,WAS,PHI,1,1
158,2013,11,PIT,37,27,DET,DET,0,1
159,2013,11,SEA,41,20,MIN,SEA,1,1
160,2013,11,TB,41,28,ATL,TB,1,1
161,2013,11,CAR,24,20,NE,CAR,1,1
162,2013,12,ATL,13,17,NO,NO,1,0
163,2013,12,ARI,40,11,IND,ARI,1,1
164,2013,12,BAL,19,3,NYJ,BAL,1,1
165,2013,12,CLE,11,27,PIT,CLE,0,0
166,2013,12,DET,21,24,TB,DET,0,0
167,2013,12,GB,26,26,MIN,GB,0,0
168,2013,12,HOU,6,13,JAX,HOU,0,0
169,2013,12,KC,38,41,LAC,KC,0,0
170,2013,12,MIA,16,20,CAR,CAR,1,0
171,2013,12,NE,34,31,DEN,DEN,0,1
172,2013,12,NYG,21,24,DAL,NYG,0,0
173,2013,12,LVR,19,23,TEN,TEN,1,0
174,2013,12,LAR,42,21,CHI,LAR,1,1
175,2013,12,WAS,6,27,SF,SF,1,0
176,2013,13,BAL,22,20,PIT,BAL,1,1
177,2013,13,DAL,31,24,LVR,DAL,1,1
178,2013,13,DET,40,10,GB,DET,1,1
179,2013,13,BUF,31,34,ATL,BUF,0,0
